Date,Adj Close
2017-11-17,224.5
2017-11-20,247.0
2017-11-21,260.5
2017-11-22,263.0
2017-11-24,265.5
2017-11-27,266.0
2017-11-28,287.0
2017-11-29,280.0
2017-11-30,295.5
2017-12-01,278.0
2017-12-04,272.5
2017-12-05,277.0
2017-12-06,271.0
2017-12-07,282.0
2017-12-08,291.5
2017-12-11,287.5
2017-12-12,300.0
2017-12-13,285.5
2017-12-14,267.0
2017-12-15,272.5
2017-12-18,279.0
2017-12-19,277.5
2017-12-20,276.0
2017-12-21,280.5
2017-12-22,274.0
2017-12-26,277.0
2017-12-27,276.0
2017-12-28,274.5
2017-12-29,262.0
2018-01-02,274.5
2018-01-03,288.0
2018-01-04,292.5
2018-01-05,285.0
2018-01-08,270.0
2018-01-09,271.5
2018-01-10,260.5
2018-01-11,277.0
2018-01-12,273.5
2018-01-16,270.5
2018-01-17,278.5
2018-01-18,278.5
2018-01-19,282.5
2018-01-22,286.0
2018-01-23,289.5
2018-01-24,288.5
2018-01-25,297.0
2018-01-26,299.0
2018-01-29,289.5
2018-01-30,291.0
2018-01-31,289.0
2018-02-01,291.0
2018-02-02,285.5
2018-02-05,268.5
2018-02-06,254.0
2018-02-07,265.5
2018-02-08,236.0
2018-02-09,239.0
2018-02-12,232.5
2018-02-13,229.0
2018-02-14,232.5
2018-02-15,249.0
2018-02-16,251.5
2018-02-20,245.5
2018-02-21,249.5
2018-02-22,259.5
2018-02-23,257.5
2018-02-26,265.0
2018-02-27,264.0
2018-02-28,263.0
2018-03-01,252.5
2018-03-02,252.5
2018-03-05,258.5
2018-03-06,259.5
2018-03-07,267.5
2018-03-08,264.0
2018-03-09,268.5
2018-03-12,273.0
2018-03-13,254.0
2018-03-14,259.0
2018-03-15,252.0
2018-03-16,254.5
2018-03-19,252.0
2018-03-20,247.5
2018-03-21,247.5
2018-03-22,242.5
2018-03-23,233.0
2018-03-26,232.5
2018-03-27,226.5
2018-03-28,225.5
2018-03-29,228.5
2018-04-02,222.5
2018-04-03,225.0
2018-04-04,233.0
2018-04-05,232.0
2018-04-06,232.5
2018-04-09,234.0
2018-04-10,242.0
2018-04-11,245.0
2018-04-12,243.5
2018-04-13,242.0
2018-04-16,243.0
2018-04-17,247.0
